epoch,lr,train_loss,val_loss,val_mean_auc,auc_any,auc_epidural,auc_intraparenchymal,auc_intraventricular,auc_subarachnoid,auc_subdural
1,0.0005,0.14024469494002198,0.1397097797785032,0.8864205046002089,0.9139965333186947,0.8002727706585432,0.9312564590718087,0.9350958321801006,0.8732504707352657,0.8646509616368416
2,0.0005,0.12386160544479076,0.13365782512779126,0.9061509610768187,0.9262734965861219,0.8275135986043204,0.9449108987398243,0.959792307656914,0.8914719251135876,0.8869435397601446
3,0.0005,0.11927149930559507,0.1177617211887037,0.9135407425426938,0.9308849706605131,0.8400197778260087,0.9478216260851886,0.9655397078174749,0.9028747054089024,0.8941036674580751
4,0.0005,0.11650919234632269,0.11055168904521917,0.9187968487041432,0.9347062098237252,0.8519659853162871,0.9504105781281424,0.9662701283313642,0.9023451274988739,0.9070830631264659
5,0.0005,0.11517476557529745,0.11014368143340411,0.9182181034530762,0.9334507577166891,0.8484094687690956,0.9493265609705479,0.9677998448214723,0.9038628421460481,0.9064591462946042
6,0.0005,0.11428873938830086,0.11057724723747858,0.9185139388743625,0.9326040904367056,0.8467110353345292,0.9530302947335434,0.972619903188149,0.9036114594440187,0.9025068501092287
7,0.0005,0.11367747450192806,0.11150545577390512,0.9187044693163019,0.934328295562697,0.8484542535577899,0.9479152281122586,0.9693451100143239,0.9065220660112552,0.9056618626394871
8,0.0005,0.1132589288629336,0.11503760685993403,0.917304531869562,0.9336115708591075,0.8429630125559714,0.9493730040974306,0.9691106291542635,0.9057157140993423,0.9030532604512571
9,0.00025,0.10765493071293494,0.10938599415109508,0.9206714797956147,0.9357475750977505,0.8522072188503773,0.9496228793846884,0.973160180466662,0.9056726833545318,0.9076183416196772
10,0.00025,0.10762867662338836,0.10992277485596069,0.926960315729516,0.9414732005355761,0.86769854704764,0.9509918153864977,0.9704767855051535,0.9152334195597143,0.9158881263425144
11,0.00025,0.10782948125649533,0.10755811927899397,0.9265749329759408,0.9405044417581575,0.8623237464964267,0.952829919277199,0.9744084304281864,0.9142825953720581,0.9151004645236172
