epoch,lr,train_loss,val_loss,val_mean_auc,auc_any,auc_epidural,auc_intraparenchymal,auc_intraventricular,auc_subarachnoid,auc_subdural
1,0.0005,0.13965058384749998,0.13160456391872247,0.8921605361287038,0.9167218763676711,0.7965872523368811,0.9393386231196967,0.9493122161506269,0.893604425258947,0.8573988235383999
2,0.0005,0.12153578983747941,0.11888885158407829,0.9114242831972222,0.9331214965826276,0.8238158427042536,0.9491360674882702,0.9610741082812396,0.9066101199376255,0.8947880641893172
3,0.0005,0.11603688466025466,0.1219498332721755,0.9145779158848076,0.9345523986454944,0.827472008104169,0.9496625187538474,0.9639572094436003,0.9097521848393977,0.9020711755223363
4,0.0005,0.11359193972914465,0.11295652580625425,0.9171702174492831,0.9353329132758254,0.8294090635261112,0.9508892642374546,0.9691801442534254,0.9166169774534286,0.9015929419494534
5,0.0005,0.11200330230494111,0.10648198123819566,0.9226272697730677,0.9389484015855522,0.844828800810555,0.9521638237689461,0.971629490043929,0.9152531064051914,0.9129399960242327
6,0.0005,0.1109518910937117,0.10552023407640475,0.9225595360679187,0.9384822059681062,0.8420477841393041,0.9549796368361817,0.9746672253846137,0.9162112113296981,0.9089691527496085
7,0.0005,0.11034425710960971,0.10718366574882404,0.9200217703157826,0.9371138108209992,0.835342432911739,0.9524021371661024,0.9708848343202149,0.9178172684630477,0.9065701382125915
8,0.0005,0.109779961652653,0.1103379722793786,0.917591456812057,0.9333986750855634,0.8339220752446609,0.9469211734896029,0.9696962337835875,0.91062293466264,0.9109876486062869
9,0.0005,0.10916003185755252,0.10295397028759624,0.9271137147012002,0.9425977388283421,0.8499964474331474,0.9560510125767236,0.9773303836055278,0.9235046251818172,0.9132020805816427
10,0.0005,0.10895978501509627,0.1101061022040377,0.9214991301555951,0.9377675480184889,0.8372003217770881,0.9549100053921589,0.9729996526798323,0.9185528584439843,0.9075643946220182
11,0.0005,0.10887643460165355,0.10749246962355313,0.9248209405621063,0.9396472941605858,0.847965678491923,0.9545127766317149,0.9735062292572751,0.9218814075735288,0.9114122572576103
