epoch,lr,train_loss,val_loss,val_mean_auc,auc_any,auc_epidural,auc_intraparenchymal,auc_intraventricular,auc_subarachnoid,auc_subdural
1,0.0005,0.13444392674313801,0.12274042462563868,0.9036253998505127,0.9241660303621833,0.8289538558257002,0.9446920402957684,0.9539291779780167,0.8894919356956841,0.8805193589457236
2,0.0005,0.1185121497381625,0.11052479873336277,0.9141335067211888,0.9340784604231428,0.8228262823298691,0.9495194677431479,0.9689682612625121,0.9062269929991466,0.9031815755693146
3,0.0005,0.11264967721644083,0.11258554446220283,0.9097521992245463,0.9323461958905421,0.8067376437580925,0.9487536391987812,0.973575315299632,0.895238981108284,0.9018614200919459
4,0.0005,0.11023235093770768,0.12836343885476634,0.9022130753762063,0.9204962741361089,0.8104237232385527,0.9438285693209234,0.9671297739110699,0.8949912436821598,0.8764088679684234
5,0.0005,0.10907633907212765,0.10505880317825232,0.9209272495643708,0.9384265041828228,0.8362889135568541,0.9560177819210056,0.9725949310291976,0.9159789246125927,0.9062564420837514
6,0.0005,0.10837585919645198,0.10525093479966133,0.9261681178552786,0.940532433092371,0.856310541480254,0.9529331021059616,0.9732690398116177,0.9177389666802938,0.9162246239611735
7,0.0005,0.1078300985913083,0.10235491126114224,0.9286787233162959,0.9421931392319609,0.8597561428326985,0.9567097860760893,0.9760355612387829,0.9231273950709195,0.914250315447324
8,0.0005,0.10739094329266248,0.1051088574515286,0.9310534179849063,0.9423874164567027,0.8809084559725258,0.956870670137725,0.974613797414127,0.9199091994119245,0.9116309685164329
9,0.0005,0.10706712883121655,0.1085139267986616,0.9229174027234066,0.93820038606878,0.8401172252096014,0.9535829147493655,0.9776778959273286,0.9187382178774146,0.909187776507949
10,0.0005,0.106760960660759,0.107644792913643,0.9184599043284138,0.9349479388625411,0.8323809173547768,0.9506957551201063,0.9741879794624249,0.9095625598246311,0.9089842753460035
11,0.0005,0.10664351948503292,0.1065492651167803,0.9259491108855648,0.9409661001430386,0.8527614494956217,0.9532009479967616,0.974493109921542,0.9172584380481532,0.917014619708271
12,0.0005,0.10647683331850429,0.1089779177494863,0.9192176813222902,0.9330953600828795,0.8441749860616787,0.9499163014593093,0.9702810645313121,0.9175543571097584,0.9002840186888026
13,0.00025,0.10129330467911908,0.10017208192146444,0.9280076858588898,0.9435462862317561,0.852216974380252,0.9587344271392451,0.9763496229232953,0.9209484309079667,0.9162503735708248
14,0.00025,0.10150322603372144,0.10351301553133163,0.9319535029665773,0.9466396860520114,0.8589621894655126,0.9582387678154215,0.9779165146849192,0.9251360304292007,0.9248278293523978
15,0.00025,0.10162803862303169,0.09884851864518972,0.9344430647800323,0.9478045968068022,0.8725826789790087,0.960340782799412,0.9759410897741718,0.9251050701214067,0.9248841701993921
16,0.00025,0.10190962178782341,0.09845396251915034,0.9329296060191398,0.9478133853601901,0.865554186615862,0.9599979449874632,0.9747670692721635,0.9250223398289913,0.9244227100501676
17,0.00025,0.10192053444737573,0.10010442805758218,0.9310148614260622,0.9453090836959125,0.8618220921139577,0.9563943177925521,0.9776473986749188,0.9226823219979582,0.9222339542810729
18,0.00025,0.10201502424681097,0.09991669060329639,0.9312672591197443,0.9456375438460742,0.8573579659599346,0.9608162596628418,0.9774060871252329,0.9246296118972698,0.9217560862271121
19,0.00025,0.10205109772936614,0.1025431769758014,0.9307175626143245,0.9458946345348536,0.8604840089598931,0.9586971032771701,0.9753293653247492,0.9225567238890575,0.9213435397002234
20,0.000125,0.09802280443056853,0.09717462950252088,0.9364612523314154,0.9510376616394131,0.8661183022891653,0.961806140896885,0.9781659783139003,0.9295373899502589,0.9321020408988709
21,0.000125,0.09803459536494655,0.10423672253667604,0.9352386960390952,0.9504007472589282,0.8626788952665306,0.9601650760984363,0.9784166633070379,0.9290670040971174,0.9307037902065197
22,0.000125,0.09812576073448877,0.09807536876129982,0.9354894788602994,0.9485984623660783,0.8736095779964974,0.9608245751494304,0.9766130664338184,0.9250846981917665,0.9282064930242062
23,0.000125,0.0985174137279979,0.09615374484134434,0.9386124710245357,0.9506728454406639,0.8793905280193494,0.9612345959131143,0.9797534805956665,0.9308527947291941,0.9297705814492258
