epoch,lr,train_loss,val_loss,val_mean_auc,auc_any,auc_epidural,auc_intraparenchymal,auc_intraventricular,auc_subarachnoid,auc_subdural
1,0.0005,0.13528096821414695,0.11748298411381711,0.9077416121317864,0.926345793464737,0.8319113785219837,0.9486250816196691,0.9610312973617512,0.89730394255532,0.8812321792672574
2,0.0005,0.1176362632298975,0.12290649591732437,0.9109129424638381,0.9297182388347041,0.8209206733836512,0.9518993298875563,0.9672989354790062,0.8998639195145066,0.8957765576836048
3,0.0005,0.11192665249493469,0.1077137004129652,0.9242791274726678,0.9375253872385755,0.8644630564990218,0.9528635625781825,0.9733510317773788,0.9089097276179963,0.9085619991248519
4,0.0005,0.10961354040597662,0.10763760955197876,0.9247474707842319,0.9392790994620341,0.8500900746203071,0.953341122224589,0.975816386914435,0.9157218865309823,0.9142362549530436
5,0.0005,0.10829528277812783,0.1057626902195253,0.9235072946016775,0.9353977498694204,0.859810639985206,0.9531896462100742,0.9735788951600908,0.9106552003600283,0.9084116360252454
6,0.0005,0.1077153058627259,0.10832324435137243,0.9230450738789241,0.9375994311959744,0.8464201824128689,0.9527320695462551,0.975549863671017,0.9128572473443959,0.9131116491030331
7,0.0005,0.10739788162901201,0.1091501600146105,0.9233836761885909,0.9359667767337796,0.8506135494468097,0.9541950847573375,0.9745309353588913,0.9161478459520929,0.9088478648826348
8,0.0005,0.10690313162489902,0.10495346293412142,0.9230928033357874,0.9364765688632425,0.8512600907143414,0.951708103030991,0.9722776764250258,0.9144716471931984,0.912362733787925
9,0.00025,0.10136145392148153,0.10738134261151315,0.9301566629006377,0.942242567481464,0.8664953794184564,0.9555084075201725,0.9783573692359363,0.9177028319259272,0.920633421821869
10,0.00025,0.10148429477834787,0.09970406557408404,0.9314768681862827,0.944983488410138,0.8586736675111675,0.9585494232079677,0.9785609369480336,0.9272401614160362,0.9208535316243527
11,0.00025,0.10169827959326458,0.10101391689127813,0.9290595959609589,0.9412498064851634,0.858484664911362,0.9567986025914749,0.9763275093882104,0.9228082106296559,0.9186887817598868
12,0.00025,0.10194621265169704,0.10667831538324085,0.9304764235899791,0.9439528045976401,0.8602564159012029,0.9552236236168267,0.9798723503886554,0.9242084618062438,0.9193448852293056
13,0.00025,0.1018558901209149,0.10195075689602483,0.9309154859808101,0.9427548703183073,0.8649051201337388,0.9578294530467185,0.9781467602541865,0.9220408123284369,0.9198158998034737
14,0.00025,0.10188840828620761,0.10421948379326625,0.929259067964558,0.9423538704800615,0.8557658937006385,0.9553670070905363,0.9773961582769601,0.9208422585666242,0.9238292196725281
15,0.000125,0.09788792836532524,0.11018350575943012,0.9285300201289046,0.9400118646763808,0.8649102784780751,0.9546842238948284,0.9749650355555426,0.9242245445986453,0.9123841735699558
16,0.000125,0.0980742856841557,0.10995393904659032,0.9320826067990393,0.9437520550445218,0.8683577143881289,0.9559704939469437,0.9789533265058373,0.9225399952723304,0.9229220556364741
17,0.000125,0.09814904076038712,0.10394412265389945,0.9354967503761215,0.9455748666763377,0.8797448782173176,0.9592074613773811,0.980333918117578,0.9252571489906511,0.9228622288774629
18,0.000125,0.0985367133768703,0.09604835474769355,0.9402396865781775,0.9505165321755075,0.8854334097027292,0.9629753663683704,0.9797805717161395,0.9353153092990105,0.9274169302073076
19,0.000125,0.09864208164133095,0.09666983437897622,0.9382937994777798,0.9502640383441037,0.877562423736361,0.9621840437781034,0.9808431348421089,0.9318953004521986,0.9270138557138022
20,0.000125,0.09883406138550112,0.10746962699388518,0.9340948472619196,0.9479112217720774,0.8670968984839561,0.9592896599231955,0.9774067688780703,0.9278509855966257,0.9250135489175922
21,0.000125,0.09890293693879466,0.09902527981871764,0.9359681873524036,0.9480567637793054,0.8742350326430389,0.9580121805842071,0.9795284258240647,0.9296272890889885,0.9263494321948168
22,0.000125,0.09917742872635209,0.0949188957332601,0.9395048588226068,0.95147415332568,0.8778613487115017,0.9616115737648979,0.9808751403739622,0.9340735854199643,0.9311333513396344
23,6.25e-05,0.09606967556586099,0.09771319351850709,0.939119193845981,0.9521109807832483,0.8751226779464766,0.9633770599114773,0.9780143343719595,0.9336266278748064,0.9324634821879184
